barcode,sample_id,sample_type,location,parasitemia,postclean_qubit
barcode01,3D7,Positive,zambia,,1.99
barcode02,Dd2,Positive,zambia,,32.6
barcode03,HB3,Positive,zambia,,20.4
barcode04,IPC3445,Positive,zambia,,63.0
barcode05,Human,Negative,zambia,,5.52
barcode06,NTC,Negative,zambia,,0.322
barcode07,8012613,Field,zambia,,70.4
barcode08,8012618,Field,zambia,,58.8
barcode09,8012619,Field,zambia,,82.4
barcode10,8012620,Field,zambia,,69.4
barcode11,8012622,Field,zambia,,39.6
barcode12,8012624,Field,zambia,,76.6
barcode13,8012625,Field,zambia,,98.8
barcode14,8012635,Field,zambia,,69.8
barcode15,8012660,Field,zambia,,62.2
barcode16,8012671,Field,zambia,,79.0
barcode17,8021583,Field,zambia,,44.2
barcode18,8013842,Field,zambia,,38.8
barcode19,8013843,Field,zambia,,23.0
barcode20,8013851,Field,zambia,,101.0
barcode21,8013856,Field,zambia,,1.64
barcode22,8013857,Field,zambia,,171.0
barcode23,8013859,Field,zambia,,13.8
barcode24,8013860,Field,zambia,,111.0
barcode25,8013861,Field,zambia,,42.6
barcode26,8013863,Field,zambia,,91.4
barcode27,8013869,Field,zambia,,21.6
barcode28,8013877,Field,zambia,,36.8
barcode29,8013880,Field,zambia,,125.0
barcode30,8013882,Field,zambia,,113.0
barcode31,8013886,Field,zambia,,1.31
barcode32,8013888,Field,zambia,,51.0
barcode33,8013889,Field,zambia,,93.2
barcode34,8022509,Field,zambia,,31.0
barcode35,8022513,Field,zambia,,9.7
barcode36,8022515,Field,zambia,,43.6
barcode37,8022516,Field,zambia,,173.0
barcode38,8022518,Field,zambia,,158.0
barcode39,8022521,Field,zambia,,140.0
barcode40,8022525,Field,zambia,,124.0
barcode41,8022526,Field,zambia,,18.8
barcode42,8022528,Field,zambia,,83.4
barcode43,8022531,Field,zambia,,20.8
barcode44,8022539,Field,zambia,,33.4
barcode45,8022540,Field,zambia,,8.52
barcode46,8022543,Field,zambia,,104.0
barcode47,8022545,Field,zambia,,92.4
barcode48,8022550,Field,zambia,,89.0
barcode49,8022552,Field,zambia,,55.4
barcode50,8022555,Field,zambia,,106.0
barcode51,8022556,Field,zambia,,64.4
barcode52,8022557,Field,zambia,,7.18
barcode53,8022558,Field,zambia,,2.68
barcode54,8022559,Field,zambia,,5.08
barcode55,8022563,Field,zambia,,25.0
barcode56,8022564,Field,zambia,,17.6
barcode57,8022569,Field,zambia,,2.96
barcode58,8022571,Field,zambia,,7.18
barcode59,8022577,Field,zambia,,32.6
barcode60,8022581,Field,zambia,,4.3
barcode61,8022667,Field,zambia,,93.0
barcode62,8022670,Field,zambia,,117.0
barcode63,8022673,Field,zambia,,69.0
barcode64,8022675,Field,zambia,,5.3
barcode65,8022676,Field,zambia,,12.3
barcode66,8022677,Field,zambia,,54.4
barcode67,8022683,Field,zambia,,35.4
barcode68,8022685,Field,zambia,,0.00706
barcode69,8022686,Field,zambia,,14.9
barcode70,8022687,Field,zambia,,92.2
barcode71,8023146,Field,zambia,,124.0
barcode72,8023148,Field,zambia,,2.14
barcode73,8023149,Field,zambia,,0.0834
barcode74,8023151,Field,zambia,,17.9
barcode75,8023152,Field,zambia,,44.8
barcode76,8023153,Field,zambia,,4.98
barcode77,8023154,Field,zambia,,15.3
barcode78,8023156,Field,zambia,,4.24
barcode79,8023158,Field,zambia,,20.2
barcode80,8023159,Field,zambia,,14.8
barcode81,8023160,Field,zambia,,28.2
barcode82,8023161,Field,zambia,,30.4
barcode83,8023163,Field,zambia,,90.4
barcode84,8023165,Field,zambia,,5.22
