barcode,sample_id,sample_type,location,parasitemia,postclean_qubit
barcode01,3D7,Positive,zambia,,180.0
barcode02,Dd2,Positive,zambia,,95.4
barcode03,HB3,Positive,zambia,,121.0
barcode04,IPC3445,Positive,zambia,,113.0
barcode05,Human,Negative,zambia,,4.16
barcode06,NTC,Negative,zambia,,0.151
barcode07,8010994,Field,zambia,,31.2
barcode08,8010995,Field,zambia,,100.0
barcode09,8010996,Field,zambia,,119.0
barcode10,8010997,Field,zambia,,89.8
barcode11,8011866,Field,zambia,,86.0
barcode12,8011875,Field,zambia,,69.2
barcode13,8011877,Field,zambia,,45.4
barcode14,8011886,Field,zambia,,11.7
barcode15,8011887,Field,zambia,,62.2
barcode16,8011888,Field,zambia,,51.2
barcode17,8011891,Field,zambia,,16.0
barcode18,8011895,Field,zambia,,86.2
barcode19,8011897,Field,zambia,,70.6
barcode20,8011898,Field,zambia,,94.8
barcode21,8011902,Field,zambia,,39.0
barcode22,8011904,Field,zambia,,0.568
barcode23,8011932,Field,zambia,,51.2
barcode24,8011938,Field,zambia,,0.254
barcode25,8011940,Field,zambia,,0.788
barcode26,8011950,Field,zambia,,69.2
barcode27,8011962,Field,zambia,,1.34
barcode28,8012421,Field,zambia,,58.8
barcode29,8012422,Field,zambia,,57.2
barcode30,8012423,Field,zambia,,61.2
barcode31,8012427,Field,zambia,,93.6
barcode32,8012433,Field,zambia,,25.8
barcode33,8012434,Field,zambia,,111.0
barcode34,8012435,Field,zambia,,5.02
barcode35,8012436,Field,zambia,,20.6
barcode36,8012437,Field,zambia,,133.0
barcode37,8012438,Field,zambia,,1.97
barcode38,8012442,Field,zambia,,94.2
barcode39,8012443,Field,zambia,,102.0
barcode40,8012445,Field,zambia,,95.6
barcode41,8012446,Field,zambia,,57.2
barcode42,8012447,Field,zambia,,197.0
barcode43,8012448,Field,zambia,,125.0
barcode44,8012449,Field,zambia,,109.0
barcode45,8012451,Field,zambia,,137.0
barcode46,8012452,Field,zambia,,40.2
barcode47,8012453,Field,zambia,,49.4
barcode48,8012454,Field,zambia,,119.0
barcode49,8012455,Field,zambia,,105.0
barcode50,8012456,Field,zambia,,148.0
barcode51,8012458,Field,zambia,,116.0
barcode52,8012460,Field,zambia,,0.312
barcode53,8012463,Field,zambia,,33.4
barcode54,8012464,Field,zambia,,56.6
barcode55,8012466,Field,zambia,,69.2
barcode56,8012467,Field,zambia,,97.0
barcode57,8012468,Field,zambia,,167.0
barcode58,8012469,Field,zambia,,195.0
barcode59,8012470,Field,zambia,,104.0
barcode60,8012471,Field,zambia,,19.4
barcode61,8012472,Field,zambia,,8.22
barcode62,8012473,Field,zambia,,99.4
barcode63,8012476,Field,zambia,,1.79
barcode64,8012477,Field,zambia,,0.42
barcode65,8012478,Field,zambia,,108.0
barcode66,8012480,Field,zambia,,238.0
barcode67,8012481,Field,zambia,,98.0
barcode68,8012482,Field,zambia,,145.0
barcode69,8012483,Field,zambia,,95.4
barcode70,8012484,Field,zambia,,143.0
barcode71,8012485,Field,zambia,,4.32
barcode72,8012487,Field,zambia,,106.0
barcode73,8012489,Field,zambia,,166.0
barcode74,8012491,Field,zambia,,6.44
barcode75,8012492,Field,zambia,,55.6
barcode76,8012493,Field,zambia,,79.2
barcode77,8012497,Field,zambia,,92.2
barcode78,8012499,Field,zambia,,64.4
barcode79,8012500,Field,zambia,,14.3
barcode80,8013936,Field,zambia,,2.36
barcode81,8013937,Field,zambia,,30.8
barcode82,8013938,Field,zambia,,12.8
barcode83,8013940,Field,zambia,,31.8
barcode84,8013941,Field,zambia,,75.4
barcode85,8013942,Field,zambia,,18.2
barcode86,8013943,Field,zambia,,16.0
barcode87,8013944,Field,zambia,,15.0
barcode88,8013945,Field,zambia,,1.54
barcode89,8013946,Field,zambia,,80.0
barcode90,8013948,Field,zambia,,73.8
barcode91,8013950,Field,zambia,,9.46
barcode92,8013952,Field,zambia,,60.2
barcode93,8013425,Field,zambia,,99.2
barcode94,8013428,Field,zambia,,90.0
barcode95,8013429,Field,zambia,,69.4
barcode96,8013430,Field,zambia,,110.0
